StS2 Launcher — Step 36.0 controlled exact ExecuteEssential checkpoint
Output-only diagnostic; never consumed as trusted runtime input.
Run ID: 20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b
Initialized UTC: 2026-09-05T19:14:32.9463410+00:00
Process ID: 61113
App version: 0.0.155 (155)
Candidate: STEP 36.0 — CONTROLLED EXACT EXECUTEESSENTIAL + STEP35 UI RETURN FIX
Prerequisite: same-process physical exact Step-35 core closure; ExecuteDeferred/PrewarmJit/entry/native game load remain forbidden.

2026-09-05T19:14:32.9540670+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | RUN_TELEMETRY_READY — Step36 run journal created and durably flushed before Gate A.
2026-09-05T19:14:33.0894720+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_PACK_LOAD_START — mounting receipt-backed game PCK into the live source-built Godot resource filesystem; path=/var/mobile/Containers/Data/Application/974431A3-48E4-4E10-92DA-BABFE5C67DF6/Documents/StS2Launcher/Step12-ManagedInstall/Depot-2868842/SlayTheSpire2.app/Contents/Resources/Slay the Spire 2.pck; replaceFiles=false; offset=0.
2026-09-05T19:14:33.1110500+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_PACK_LOAD_RETURNED — returned=True; replaceFiles=false; path=SlayTheSpire2.app/Contents/Resources/Slay the Spire 2.pck.
2026-09-05T19:14:33.1112520+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_LOCALIZATION_DIR_PROBE_START — probing the exact prior failure path res://localization/eng through Godot.DirAccess.Open after pack mount.
2026-09-05T19:14:33.1115710+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_LOCALIZATION_DIR_PROBE_RETURNED — exists=True; path=res://localization/eng.
2026-09-05T19:14:33.1118610+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_GAME_RESOURCE_PACK_PASS — exact receipt-backed game PCK is mounted additively in source-built Godot and the prior localization directory boundary is now visible; pack=SlayTheSpire2.app/Contents/Resources/Slay the Spire 2.pck; localization=res://localization/eng.
2026-09-05T19:14:33.1119990+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_B_PASS — exact ExecuteEssential MethodInfo bound; token=0x0600AFE8; stateBefore=1; exact game PCK mounted; localizationProbe=res://localization/eng; resolver baseline unchanged.
2026-09-05T19:14:33.1145020+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_C_UI_SELECTED — Gate C selected on the UI thread; entering the synchronous exact ExecuteEssential boundary.
2026-09-05T19:14:33.1147050+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_C_INVOKE_START — invoking exact transformed ExecuteEssential once on managedThread=1; stateBefore=1; gamePackMounted=SlayTheSpire2.app/Contents/Resources/Slay the Spire 2.pck; localizationProbe=res://localization/eng. This synchronous boundary has no launcher retry in the same process.
2026-09-05T19:14:33.3491890+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | E_C_FAIL — stage=single exact ExecuteEssential invocation; System.InvalidOperationException: Exact transformed ExecuteEssential threw System.Reflection.TargetInvocationException: Arg_TargetInvocationException
2026-09-05T19:14:33.3500690+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=1 | RUN_FINALLY_ENTER — Step-36 managed control reached finally; managedThread=1; isMain=True; writing deterministic report without requiring a captured UIKit continuation.
2026-09-05T19:14:33.3568630+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=8 | RUN_NORMAL_REPORT_RETURNED — Step36 report writer returned.
2026-09-05T19:14:33.3571430+00:00 | run=20260905T1914329463410Z-pid61113-645321984d314b7b8cac8061a0618a1b | pid=61113 | managedThread=8 | RUN_END — Step-36 UI operation ended normally after explicit main-thread teardown.
